candidate_id,author_group,entry_id,text_source,sample_type,candidate_method,trigger_pattern,left_term_key,left_display,right_term_key,right_display,relation_hint,evidence_display,review_status,review_confidence,review_note
SNRC-00021,Aetius,AET_LM-1.101,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον κικινον,ἔλαιον κίκινον,ελαιον παλαιον,παλαιὸν ἔλαιον,unreviewed," κίκινον κατ' Αἴγυπτον γίγνεται, τοῦ σπέρματος τῆς κίκεως, ὃ καλεῖται κρότωνες, κοπτομένου ἢ θλιβομένου ἢ δι' ὕδατος θερμοῦ ἀναλεγομένου. ἐστὶ δὲ λεπτομερὲς καὶ διαφορητικὸν ὡς τὸ παλαιὸν ἔλαιον. σμήχει δὲ ἀλφοὺς ἐφήλεις φακοὺς συνεχῶς χριόμενον. παραπλ",pending_llm_review,,
SNRC-00022,Aetius,AET_LM-1.101,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον κικινον,ἔλαιον κίκινον,κικις,κίκεως,unreviewed," κίκινον κατ' Αἴγυπτον γίγνεται, τοῦ σπέρματος τῆς κίκεως, ὃ καλεῖται κρότωνες, κοπτομένου ἢ θλιβομένου ἢ δι' ὕδατος θερμοῦ ἀναλεγομένου. ἐστὶ δὲ λεπτομερὲς καὶ διαφορητικὸν ὡς τὸ παλαιὸν ἔλαιον. σμήχει δὲ ἀλφοὺς ἐφήλεις φακοὺς συνεχῶς χριόμενον. παραπλ",pending_llm_review,,
SNRC-00023,Aetius,AET_LM-1.101,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον κικινον,ἔλαιον κίκινον,κροτων,κρότωνες,unreviewed," κίκινον κατ' Αἴγυπτον γίγνεται, τοῦ σπέρματος τῆς κίκεως, ὃ καλεῖται κρότωνες, κοπτομένου ἢ θλιβομένου ἢ δι' ὕδατος θερμοῦ ἀναλεγομένου. ἐστὶ δὲ λεπτομερὲς καὶ διαφορητικὸν ὡς τὸ παλαιὸν ἔλαιον. σμήχει δὲ ἀλφοὺς ἐφήλεις φακοὺς συνεχῶς χριόμενον. παραπλ",pending_llm_review,,
SNRC-00024,Aetius,AET_LM-1.101,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον κικινον,ἔλαιον κίκινον,ραφανινος,ῥαφανίνῳ,unreviewed," κίκινον κατ' Αἴγυπτον γίγνεται, τοῦ σπέρματος τῆς κίκεως, ὃ καλεῖται κρότωνες, κοπτομένου ἢ θλιβομένου ἢ δι' ὕδατος θερμοῦ ἀναλεγομένου. ἐστὶ δὲ λεπτομερὲς καὶ διαφορητικὸν ὡς τὸ παλαιὸν ἔλαιον. σμήχει δὲ ἀλφοὺς ἐφήλεις φακοὺς συνεχῶς χριόμενον. παραπλ",pending_llm_review,,
SNRC-00025,Aetius,AET_LM-1.106,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ζεον υδωρ,ζέον ὕδωρ,υδωρ,ὕδωρ,variant,καρύινον. Ὁμοίως τῷ ἀμυγδαλίνῳ καὶ τοῦτο σκευάζεται ἢ κοπτομένῳ καὶ πιεζομένῳ ἢ εἰς ζέον ὕδωρ ἐμβαλλομένῳ μετὰ τὸ κοπῆναι καὶ ἁρμόζει δὲ τοῖς αὐτοῖς· περιττὸν δὲ ἔχει τὸ χρησιμεύειν τοῖς χρυσοῦσιν ἢ ἐγκαίουσι· ξηρα,pending_llm_review,,
SNRC-00026,Aetius,AET_LM-1.108,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,αλευρον,ἀλεύροις,δαφνη,δάφνης,unreviewed,χεῖς χριόμενον ἐν βαλανείοις ἀποθεραπεύει. φευκτέον δὲ αὐτὸ ἐπὶ τῶν φλεγμαινόντων λειχήνων ἢ ψωρῶν καὶ ἐπὶ τῶν θερμῶν κράσεων καὶ χολωδῶν. τοῖς γὰρ ὑγροῖς καὶ φλεγματικοῖς ἁρμόττει καὶ πᾶσι τοῖς ὑπὸ ψύξεως ἐνοχλουμένοις τὰ ἄρθρα καὶ ἰσχιαδικοῖς κατάλληλ,pending_llm_review,,
SNRC-00027,Aetius,AET_LM-1.108,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,αλευρον,ἀλεύροις,δαφνις,δαφνίδων,unreviewed,χεῖς χριόμενον ἐν βαλανείοις ἀποθεραπεύει. φευκτέον δὲ αὐτὸ ἐπὶ τῶν φλεγμαινόντων λειχήνων ἢ ψωρῶν καὶ ἐπὶ τῶν θερμῶν κράσεων καὶ χολωδῶν. τοῖς γὰρ ὑγροῖς καὶ φλεγματικοῖς ἁρμόττει καὶ πᾶσι τοῖς ὑπὸ ψύξεως ἐνοχλουμένοις τὰ ἄρθρα καὶ ἰσχιαδικοῖς κατάλληλ,pending_llm_review,,
SNRC-00028,Aetius,AET_LM-1.108,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,αλευρον,ἀλεύροις,ελαιον,ἔλαιον,unreviewed,χεῖς χριόμενον ἐν βαλανείοις ἀποθεραπεύει. φευκτέον δὲ αὐτὸ ἐπὶ τῶν φλεγμαινόντων λειχήνων ἢ ψωρῶν καὶ ἐπὶ τῶν θερμῶν κράσεων καὶ χολωδῶν. τοῖς γὰρ ὑγροῖς καὶ φλεγματικοῖς ἁρμόττει καὶ πᾶσι τοῖς ὑπὸ ψύξεως ἐνοχλουμένοις τὰ ἄρθρα καὶ ἰσχιαδικοῖς κατάλληλ,pending_llm_review,,
SNRC-00029,Aetius,AET_LM-1.108,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,αλευρον,ἀλεύροις,μελι,μέλιτι,unreviewed,χεῖς χριόμενον ἐν βαλανείοις ἀποθεραπεύει. φευκτέον δὲ αὐτὸ ἐπὶ τῶν φλεγμαινόντων λειχήνων ἢ ψωρῶν καὶ ἐπὶ τῶν θερμῶν κράσεων καὶ χολωδῶν. τοῖς γὰρ ὑγροῖς καὶ φλεγματικοῖς ἁρμόττει καὶ πᾶσι τοῖς ὑπὸ ψύξεως ἐνοχλουμένοις τὰ ἄρθρα καὶ ἰσχιαδικοῖς κατάλληλ,pending_llm_review,,
SNRC-00030,Aetius,AET_LM-1.108,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,αλευρον,ἀλεύροις,πεπεμμενον ελαιον,πεπεμμένων ἐλαίων,unreviewed,χεῖς χριόμενον ἐν βαλανείοις ἀποθεραπεύει. φευκτέον δὲ αὐτὸ ἐπὶ τῶν φλεγμαινόντων λειχήνων ἢ ψωρῶν καὶ ἐπὶ τῶν θερμῶν κράσεων καὶ χολωδῶν. τοῖς γὰρ ὑγροῖς καὶ φλεγματικοῖς ἁρμόττει καὶ πᾶσι τοῖς ὑπὸ ψύξεως ἐνοχλουμένοις τὰ ἄρθρα καὶ ἰσχιαδικοῖς κατάλληλ,pending_llm_review,,
