row_idx,author,book,chapter,lemma_gr,lemma_en,edition_pages,chapter_gr,section_gr,var_par_prod_gr,entry_gr,var_par_prod_en,entry_en,book_no_gr,chapter_no_gr,cat,lemma_derived,derived_from
21,paul,7,3,ἀκαλήφης,,2.189,,Ἀκαλήφης,,"Ἀκαλήφης ὅ τε καρπὸς καὶ τὰ φύλλα λεπτομερῆ τέ ἐστι καὶ ξηραίνουσιν ἀδήκτως ὄγκους τε διαφοροῦσι καὶ ῥύπτουσιν ὑπάγουσί τε γαστέρα, φυσώδη δὲ μετρίως εἰσίν· δι' ὃ καὶ πρὸς συνουσίαν παρορμᾷ.",,,,,,,
22,paul,7,3,ἄκανθος:μελάμφυλλος:παιδέρωτα,,2.189,,"Ἄκανθος, οἱ δὲ μελάμφυλλον, οἱ δὲ παιδέρωτα",,"Ἄκανθος, οἱ δὲ μελάμφυλλον, οἱ δὲ παιδέρωτα, διαφορητικῆς ἐστι καὶ ξηραντικῆς δυνάμεως.",,,,,,,alias_review
23,paul,7,3,ἀκάνθιον,,2.189,,Ἀκάνθιον,,Ἀκάνθιον λεπτομεροῦς καὶ θερμῆς ὂν δυνάμεως σπωμένοις βοηθεῖ.,,,,,,,
24,paul,7,3,ἄκανθα λευκή,,2.190,,Ἄκανθα λευκὴ,,"Ἄκανθα λευκὴ τὴν μὲν ῥίζαν ξηραντικήν τε καὶ μετρίως στύφουσαν ἔχει· δι' ὃ καὶ στομαχικοὺς καὶ αἱμοπτυϊκοὺς καὶ ὀδονταλγοῦντας ὠφελεῖ· τὸ δὲ σπέρμα λεπτομεροῦς τε καὶ θερμῆς ἐστι δυνάμεως, ὅθεν καὶ σπασμὸν ἰᾶται.",,,,,,,
25,paul,7,3,ἄκανθα αἰγυπτία:ἄκανθα ἀραβική,,2.190,,"Ἄκανθα Αἰγυπτία, οἱ δὲ Ἀραβική",,"Ἄκανθα Αἰγυπτία, οἱ δὲ Ἀραβική, στυπτικῆς τε καὶ ξηραντικῆς ἄγαν ἐστὶ δυνάμεως· ὅθεν αἵματός τε καὶ τῶν ἄλλων ῥευμάτων ἐστὶν ἐφεκτική.",,,,,,,alias_review
26,paul,7,3,ἄκινος,,2.190,,Ἄκινος,,"Ἄκινος ὠκίμῳ παραπλήσιος οὖσα στύφει μετρίως· ὅθεν ἵστησι κοιλίαν καὶ ἔμμηνα πινομένη, καταπλασσομένη δὲ φύγεθλα καὶ ἐρυσιπέλατα ὠφελεῖ.",,,,,,,
27,paul,7,3,ἀκόνιτον,,2.190,,Ἀκόνιτον,,"Ἀκόνιτον τὸ μὲν παρδαλιαγχὲς σηπτικῆς καὶ δηλητηρίου δυνάμεώς ἐστιν· ὅθεν ἔσωθεν μὲν αὐτὸ μὴ ληπτέον, ἔξωθεν μέντοι ἐπὶ τῶν σαπῆναι δεομένων σαρκῶν χρηστέον αὐτῷ· τὸ δὲ λυκοκτόνον τῆς αὐτῆς ὂν τῷ προτέρῳ δυνάμεως ἰδίως τοὺς λύκους ἀναιρεῖ, ὥσπερ ἐκεῖνο τὰς παρδάλεις.",,,,,,,
28,paul,7,3,ἄκορον,,2.190,,Ἄκορον,,"Ἄκορον θερμαίνει καὶ ξηραίνει κατὰ τὴν τρίτην ἀπόστασιν, χρώμεθα δὲ τῇ ῥίζῃ αὐτοῦ πρός τε τὸ κινῆσαι οὖρα καὶ πρὸς σπληνὸς σκίρρον· λεπτύνει δὲ καὶ τὰ πάχη τοῦ κερατοειδοῦς.",,,,,,,
29,paul,7,3,ἀκρίδες,,2.190,,Ἀκρίδες,,"Ἀκρίδες ὑποθυμιώμεναι δυσουρίας, μάλιστα γυναικῶν, ὠφελοῦσιν. ἡ δὲ ἄπτερος ἀκρὶς σκορπιοπλήκτοις βοηθεῖ πινομένη σὺν οἴνῳ.",,,,,,,
30,paul,7,3,ἀκτῆ,,2.190,,Ἀκτῆ,,"Ἀκτῆ ἥ τε μεγάλη καὶ ἡ χαμαιάκτη ξηραντικῆς ἐστι δυνάμεως καὶ μετρίως διαφορητικῆς καὶ κολλητικῆς, πινόμεναι δὲ ἢ ἐσθιόμεναι ὕδωρ ἄγουσι διὰ γαστρός.",,,,,,,
31,paul,7,3,ἅλες,,2.190,,Ἅλες,,"Ἅλες ξηραντικῆς ἱκανῶς καὶ στυπτικῆς εἰσι δυνάμεως· ὅθεν, ὅσον μὲν ὑγρόν ἐστιν ἐν τοῖς σώμασι, τοῦτο πᾶν ἐκβόσκονται, τὸ δὲ ὑπόλοιπον συνάγουσι τῇ στύψει· δι' ὃ καὶ ταριχεύουσι καὶ ἄσηπτα φυλάττουσιν. οἱ δὲ κεκαυμένοι διαφοροῦσι μᾶλλον.",,,,,,,
32,paul,7,3,ἀλθαία:ἐβίσκος,,2.190,,Ἀλθαία ἢ ἐβίσκος,,"Ἀλθαία ἢ ἐβίσκος (ἔστι δὲ εἶδος ἀγρίας μαλάχης) διαφορητική, χαλαστική, ἀφλέγμαντος, πραϋντική, πεπτικὴ φυμάτων ἐστίν· ἡ δὲ ῥίζα καὶ τὸ σπέρμα τὰ μὲν ἄλλα ἐπιτεταμένα ἔχει, ἔστι δὲ καὶ ἀλφῶν ῥυπτικά, τὸ δὲ σπέρμα καὶ λίθους θρύπτει.",,,,,,,
33,paul,7,3,ἁλικάκαβον,,2.191,,Ἁλικάκαβον,,Ἁλικάκαβον ἐν τῷ περὶ στρύχνου ῥηθήσεται.,,,,,,,
34,paul,7,3,ἅλιμον,,2.191,,Ἅλιμον,,"Ἅλιμον ἀνομοιομερές ἐστιν ἁλυκόν τε καὶ ὑποστῦφον, τὸ δὲ πλεῖστον αὐτοῦ θερμὸν εὐκράτως μεθ' ὑγρότητος ἀκατεργάστου· γάλακτος γοῦν καὶ σπέρματός ἐστι γεννητικόν.",,,,,,,
35,paul,7,3,ἀλκέα,,2.191,,Ἀλκέα,,"Ἀλκέα (εἶδός ἐστι καὶ αὐτὴ τῆς ἀγρίας μαλάχης) σὺν οἴνῳ πινομένη δυσεντερίας καὶ δήξεις ἰᾶται, καὶ μᾶλλον ἡ ῥίζα αὐτῆς.",,,,,,,
36,paul,7,3,ἀλκυόνια,,2.191,,Ἀλκυόνια,,Ἀλκυόνια ῥύπτει μὲν πάντα καὶ διαφορεῖ δριμεῖαν ἔχοντα ποιότητα· ἀλλὰ τὸ μὲν Μιλήσιον (ἔστι δὲ σκωληκοειδὲς καὶ πορφυροῦν) ἄριστον· δι' ὃ καὶ καυθὲν ἀλωπεκίας ἰᾶται καὶ λειχῆνας καὶ ἀλφοὺς ἀπορρύπτει. τὸ δὲ τὴν ἐπιφάνειαν λείαν ἔχον δριμύτατόν ἐστιν οὐ μόνον ἀπορρύπτον ἀλλὰ καὶ ἐκδέρον. τὸ δὲ παραπλήσιον ἐρίοις οἰσυπηροῖς ἀσθενέστερον ἁπάντων ἐστίν.,,,,,,,
37,paul,7,3,ἅλμη,,2.191,,Ἅλμη,,"Ἅλμη ἡ μὲν ἀμιγὴς ἑτέρας οὐσίας παραπλησίαν ἔχει τοῖς ἁλσὶ δύναμιν πλὴν ἀσθενεστέραν τῇ μίξει τοῦ ὕδατος, ἡ δὲ τῶν ταριχηρῶν ἰχθύων καὶ ἡ τῶν κολυμβάδων ἐλαῶν ῥυπτικωτέρας εἰσὶ δυνάμεως· ἰσχιαδικοῖς οὖν καὶ δυσεντερικοῖς ἐνίεται.",,,,,,,
38,paul,7,3,ἀλόη,,2.191,,Ἀλόη,,"Ἀλόη θερμαίνει μὲν κατὰ τὴν πρώτην ἀπόστασιν, ξηραίνει δὲ κατὰ τὴν τρίτην, ἔστι δὲ καὶ εὐστόμαχος καὶ ῥυπτικὴ καὶ διαφορητικὴ καὶ γαστρὸς ἐκκοπρωτική· πλυθεῖσα δὲ ἧττον μὲν ῥύπτει, εὐστόμαχος δὲ μᾶλλόν ἐστιν ἀφλέγμαντός τε καὶ ἑλκῶν ἀφουλωτική, μάλιστα τῶν καθ' ἕδραν τε καὶ αἰδοῖον.",,,,,,,
39,paul,7,3,ἁλὸς ἄνθος,,2.191,,Ἁλὸς ἄνθος,,Ἁλὸς ἄνθος ὑγρόν ἐστι φάρμακον λεπτομερέστερον τῶν κεκαυμένων ἁλῶν δριμύ τε καὶ διαφορητικὸν ἱκανῶς.,,,,,,,
40,paul,7,3,ἁλὸς ἄχνη,,2.191,,Ἁλὸς ἄχνη,,"Ἁλὸς ἄχνη ἀφρῶδές ἐστιν ἐπάνθημα τῶν ἁλῶν, λεπτομερέστερον μὲν ἐκείνων καὶ διαφορητικώτερον, ἧττον δὲ συνακτικόν.",,,,,,,
41,paul,7,3,ἀλσίνη:μυὸς ὦτα,,2.191,,"Ἀλσίνη, οἱ δὲ μυὸς ὦτα",,"Ἀλσίνη, οἱ δὲ μυὸς ὦτα, τὴν δύναμιν ὁμοίαν ἔχει τῇ ἑλξίνῃ ψύχουσάν τε καὶ ὑγραίνουσαν· δι' ὃ πρὸς τὰς ζεούσας ἁρμόζει φλεγμονάς.",,,,,,,alias_review
42,paul,7,3,ἄλυπον,,2.191,,Ἄλυπον,,Ἄλυπον. καθαίρει τὸ σπέρμα αὐτοῦ κάτω μέλαιναν χολὴν πλῆθος ἴσον ἐπιθύμου λαμβανόμενον μετὰ ἁλῶν καὶ ὄξους· τὰ δὲ ἔντερα ἐλαφρῶς ἑλκοῖ.,,,,,,,
43,paul,7,3,ἄλυσσον,,2.191-192,,Ἄλυσσον,,"Ἄλυσσον ὠνόμασται μὲν ἀπὸ τοῦ τοὺς λυσσοδήκτους ὀνινάναι, ξηραντικῆς δὲ καὶ διαφορητικῆς καὶ ῥυπτικῆς οὖσα δυνάμεως νεφρούς τε ἐκφράττει καὶ ἔφηλιν ῥύπτει.",,,,,,,
44,paul,7,3,ἀλώπηξ,,2.192,,Ἀλώπηξ,,"Ἀλώπηξ τὸ ζῷον ὅλη ἐν ἐλαίῳ ζῶσα ἢ τεθνεῶσα καθηψημένη διαφορητικὸν ἐργάζεται τοὔλαιον τὰ διὰ βάθους ὑγρὰ πρὸς τὴν ἐπιφάνειαν ἕλκον· ὅθεν ἀρθριτικοὺς ἐν αὐτῷ εἰς πύελον ἐμβιβάζοντες ἐπὶ χρόνον συχνὸν ἀρχόμενον μὲν τὸ πάθος ἔπαυσαν, χρονίσαν δὲ ἐμετρίασαν.",,,,,,,
45,paul,7,3,ἀμάρακον,,2.192,,Ἀμάρακον,,"Ἀμάρακον θερμαίνει μὲν κατὰ τὴν τρίτην τάξιν, ξηραίνει δὲ κατὰ τὴν δευτέραν.",,,,,,,
46,paul,7,3,ἀμάραντον,,2.192,,Ἀμάραντον,,Ἀμάραντον λεπτύνει καὶ τέμνει· ἔμμηνα γοῦν ἄγει σὺν οἴνῳ ποθὲν καὶ θρόμβους αἵματος διαλύει σὺν οἰνομέλιτι πάντων τε ῥευμάτων ἐστὶ ξηραντικὸν κακοστόμαχον ὑπάρχον.,,,,,,,
47,paul,7,3,ἀμβροσία,,2.192,,Ἀμβροσία,,Ἀμβροσία καταπλαττομένη δύναμιν ἔχει στύφουσάν τε καὶ ἀποκρουστικήν.,,,,,,,
48,paul,7,3,ἄμι,,2.192,,Ἄμι,,Ἄμι τῆς τρίτης τάξεώς ἐστι τῶν θερμαινόντων τε καὶ ξηραινόντων λεπτομερές τε καὶ διαφορητικὸν καὶ διουρητικόν· τὸ δὲ σπέρμα μάλιστα χρήσιμόν ἐστιν.,,,,,,,
49,paul,7,3,ἀμίαντον,,2.192,,Ἀμίαντον,,"Ἀμίαντον ἐν Κύπρῳ γεννᾶται παραπλήσιον στυπτηρίᾳ σχιστῇ, ἐκφλογούμενον μὲν ὑπὸ πυρός, μὴ καιόμενον δέ· χρῶνται δὲ αὐτῷ τινες ἐν τοῖς ξηραντικοῖς ψιλώθροις.",,,,,,,
50,paul,7,3,ἄμμος,,2.192,,Ἄμμος,,"Ἄμμος ἡ ἐν τοῖς αἰγιαλοῖς τῆς θαλάσσης ἱκανῶς ξηραίνει· πυρωθεῖσα γοῦν ὑπὸ ἡλίου ἐξικμάζει τὰ ὑδαρῆ σώματα χωννύμενα ἐν αὐτῇ, φωχθεῖσα δὲ ξηροπυρία γίνεται ἀντὶ κέγχρου καὶ ἁλῶν.",,,,,,,
51,paul,7,3,ἀμμωνιακόν,,2.192,,Ἀμμωνιακὸν,,"Ἀμμωνιακὸν θυμίαμα ὀπός ἐστι μαλακτικῆς δυνάμεως ἐπιτεταμένης, ὥστε σκίρρους τε καὶ πώρους διαλύειν.",,,,,,,
52,paul,7,3,ἀμόργη,,2.192,,Ἀμόργη,,"Ἀμόργη τῆς δευτέρας ἐστὶ τάξεως τῶν θερμαινόντων καὶ ξηραινόντων ἐπιτεταμένης· οὕτω γέ τοι τὰ μὲν ἐν τοῖς ξηροῖς σώμασιν ἕλκη θεραπεύει, τὰ δὲ ἐν τοῖς ἄλλοις συντείνει τε καὶ παροξύνει.",,,,,,,
53,paul,7,3,ἀμπελόπρασον,,2.192-193,,Ἀμπελόπρασον,,"Ἀμπελόπρασον οἷον πράσον ὂν ἄγριον δριμύτατόν ἐστι καὶ θερμότατον κατὰ τὴν ἐσχάτην τάξιν, ὅθεν καὶ ἑλκοῖ, τμητικόν τέ ἐστι καὶ ἐκφρακτικὸν καὶ κακοστόμαχον.",,,,,,,
54,paul,7,3,ἀμπέλου ἀγρίας,,2.193,,Ἀμπέλου ἀγρίας,,"Ἀμπέλου ἀγρίας αἱ βότρυές τε καὶ οἱ ἀκρεμόνες ῥυπτικῆς εἰσι δυνάμεως, ἔχουσι δέ τι καὶ στυπτικόν.",,,,,,,
55,paul,7,3,ἀμπέλου τῆς ἡμέρου,,2.193,,Ἀμπέλου τῆς ἡμέρου,,"Ἀμπέλου τῆς ἡμέρου παραπλησία μὲν ἡ δύναμις τῇ ἀγρίᾳ, ἀσθενεστέρα δέ.",,,,,,,
56,paul,7,3,ἄμπελος λευκή:βρυωνία:ψίλωθρον,,2.193,,"Ἀμπέλου λευκῆς, ἣν δὴ καὶ βρυωνίαν καὶ ψίλωθρον καλοῦσιν",,"Ἀμπέλου λευκῆς, ἣν δὴ καὶ βρυωνίαν καὶ ψίλωθρον καλοῦσιν, οἱ μὲν βλαστοὶ ὡς εὐστόμαχοι ἐσθίονται καὶ οὐρητικοί εἰσιν, ἡ δὲ ῥίζα ῥυπτική τε καὶ λεπτομερής ἐστιν καὶ μετρίως θερμή· δι' ὃ καὶ σπλῆνας τήκει πινομένη καὶ ἔξωθεν μετὰ σύκων καταπλασσομένη καὶ ψώρας καὶ λέπρας ἰᾶται.",,,,,,,alias_review
57,paul,7,3,ἄμπελος μέλαινα:βρυωνία,,2.193,,"Ἄμπελος μέλαινα, καὶ αὐτὴ βρυωνία",,"Ἄμπελος μέλαινα, καὶ αὐτὴ βρυωνία, παραπλήσιός ἐστι τῇ λελεγμένῃ πλὴν ἀσθενεστέρα.",,,,,,,alias_review
58,paul,7,3,ἀμύγδαλα,,2.193,,Ἀμύγδαλα,,Ἀμύγδαλα τὰ μὲν πικρὰ τῆς λεπτυνούσης τε καὶ ἐκφρακτικῆς τῶν ἐν βάθει γλίσχρων τε καὶ παχέων χυμῶν εἰσι δυνάμεως καὶ ῥυπτικῆς τῶν περὶ τὸ δέρμα· καὶ τὸ δένδρον δὲ τὴν αὐτὴν ἔχει δύναμιν. τὰ δὲ γλυκέα θερμὰ συμμέτρως εἰσίν.,,,,,,,
59,paul,7,3,ἄμυλον,,2.193,,Ἄμυλον,,"Ἄμυλον γίνεται μὲν ἐκ πυροῦ καθαροῦ βρεχομένου ὕδατι ἐν τοῖς ὑπὸ κύνα καύμασιν καὶ ἀποχεομένου πεντάκις τῆς ἡμέρας· ἐπὰν δὲ μαλακώτατος γένηται, ἀπηθήσαντας τὸ ὕδωρ τοῖς ποσὶ τρίβειν, εἶτα αὖθις ὕδωρ ἐπιχέαντας χωρίσαι τὸ πίτυρον καὶ ξηραίνειν ἐν ἡλίῳ ταχέως, πρὶν ὀξωθῇ. δύναμιν δὲ ἔχει ψυκτικήν τε μετρίως καὶ ξηραντικὴν καὶ πραϋντικὴν τῶν δριμέων.",,,,,,,
